Flight_No,Airline,Destination,Via,Departure_Time,Terminal_Gate,Expected_Pax
QF1,Qantas,Singapore,Direct,2024-02-15 16:30:00,T1-16,325
UA839,United Airlines,Los Angeles,Direct,2024-02-15 20:59:00,T1-33,245
EK413,Emirates,Dubai,Direct,2024-02-15 21:05:00,T1-34,221
GA715,Garuda Indonesia,Bali,Direct,2024-02-16 07:33:00,T1-11,363
5J32,Cebu Pacific,Manila,Direct,2024-02-16 08:00:00,T1-19,335
SQ211,Singapore Airlines,Singapore,Direct,2024-02-16 08:02:00,T1-54,377
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-16 08:48:00,T1-11,214
MU502,China Eastern,Shanghai,Direct,2024-02-16 09:20:00,T1-31,283
PR211,Philippine Airlines,Manila,Direct,2024-02-16 09:27:00,T1-39,306
OZ602,Asiana Airlines,Seoul,Direct,2024-02-16 09:49:00,T1-05,294
JL771,Japan Airlines,Tokyo,Direct,2024-02-16 09:55:00,T1-10,374
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-16 10:26:00,T1-12,185
KE601,Korean Air,Seoul,Direct,2024-02-16 11:31:00,T1-14,357
QF7,Qantas,Los Angeles,Direct,2024-02-16 11:56:00,T1-09,353
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-16 15:41:00,T1-28,346
QF1,Qantas,Singapore,Direct,2024-02-16 16:34:00,T1-23,212
QR007,Qatar Airways,Doha,Direct,2024-02-16 20:41:00,T1-06,211
EK413,Emirates,Dubai,Direct,2024-02-16 21:11:00,T1-20,331
GA715,Garuda Indonesia,Bali,Direct,2024-02-17 07:30:00,T1-44,256
TR13,Scoot,Singapore,Direct,2024-02-17 07:46:00,T1-35,339
SQ211,Singapore Airlines,Singapore,Direct,2024-02-17 08:03:00,T1-38,288
TG476,Thai Airways,Bangkok,Direct,2024-02-17 09:01:00,T1-16,369
PR211,Philippine Airlines,Manila,Direct,2024-02-17 09:28:00,T1-43,253
OZ602,Asiana Airlines,Seoul,Direct,2024-02-17 09:41:00,T1-37,247
JL771,Japan Airlines,Tokyo,Direct,2024-02-17 10:03:00,T1-51,383
CA781,Air China,Beijing,Direct,2024-02-17 10:04:00,T1-17,186
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-17 10:25:00,T1-47,154
NH880,ANA,Tokyo,Direct,2024-02-17 11:19:00,T1-07,327
KE601,Korean Air,Seoul,Direct,2024-02-17 11:25:00,T1-43,186
QF7,Qantas,Los Angeles,Direct,2024-02-17 11:55:00,T1-31,240
SQ213,Singapore Airlines,Singapore,Direct,2024-02-17 13:30:00,T1-03,248
QF1,Qantas,Singapore,Direct,2024-02-17 16:34:00,T1-10,199
UA839,United Airlines,Los Angeles,Direct,2024-02-17 20:59:00,T1-49,287
EK413,Emirates,Dubai,Direct,2024-02-17 21:08:00,T1-51,264
GA715,Garuda Indonesia,Bali,Direct,2024-02-18 07:30:00,T1-44,289
SQ211,Singapore Airlines,Singapore,Direct,2024-02-18 07:58:00,T1-24,274
5J32,Cebu Pacific,Manila,Direct,2024-02-18 07:59:00,T1-13,250
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-18 08:44:00,T1-06,340
TG476,Thai Airways,Bangkok,Direct,2024-02-18 08:55:00,T1-31,177
MU502,China Eastern,Shanghai,Direct,2024-02-18 09:13:00,T1-18,311
PR211,Philippine Airlines,Manila,Direct,2024-02-18 09:26:00,T1-33,382
JL771,Japan Airlines,Tokyo,Direct,2024-02-18 10:05:00,T1-51,379
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-18 10:34:00,T1-14,279
NH880,ANA,Tokyo,Direct,2024-02-18 11:19:00,T1-33,357
KE601,Korean Air,Seoul,Direct,2024-02-18 11:33:00,T1-01,169
QF7,Qantas,Los Angeles,Direct,2024-02-18 12:00:00,T1-41,191
SQ213,Singapore Airlines,Singapore,Direct,2024-02-18 13:34:00,T1-40,332
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-18 15:49:00,T1-28,374
QF1,Qantas,Singapore,Direct,2024-02-18 16:29:00,T1-07,341
QR007,Qatar Airways,Doha,Direct,2024-02-18 20:50:00,T1-09,356
UA839,United Airlines,Los Angeles,Direct,2024-02-18 21:00:00,T1-31,182
EK413,Emirates,Dubai,Direct,2024-02-18 21:10:00,T1-52,346
GA715,Garuda Indonesia,Bali,Direct,2024-02-19 07:27:00,T1-53,390
SQ211,Singapore Airlines,Singapore,Direct,2024-02-19 08:05:00,T1-11,323
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-19 08:47:00,T1-33,158
TG476,Thai Airways,Bangkok,Direct,2024-02-19 09:04:00,T1-42,363
MU502,China Eastern,Shanghai,Direct,2024-02-19 09:10:00,T1-26,318
PR211,Philippine Airlines,Manila,Direct,2024-02-19 09:28:00,T1-06,278
OZ602,Asiana Airlines,Seoul,Direct,2024-02-19 09:40:00,T1-05,179
JL771,Japan Airlines,Tokyo,Direct,2024-02-19 09:57:00,T1-26,189
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-19 10:32:00,T1-53,276
KE601,Korean Air,Seoul,Direct,2024-02-19 11:25:00,T1-04,340
QF7,Qantas,Los Angeles,Direct,2024-02-19 12:00:00,T1-15,233
SQ213,Singapore Airlines,Singapore,Direct,2024-02-19 13:25:00,T1-48,326
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-19 15:45:00,T1-30,218
QF1,Qantas,Singapore,Direct,2024-02-19 16:30:00,T1-09,282
QR007,Qatar Airways,Doha,Direct,2024-02-19 20:49:00,T1-21,184
EK413,Emirates,Dubai,Direct,2024-02-19 21:12:00,T1-15,327
GA715,Garuda Indonesia,Bali,Direct,2024-02-20 07:27:00,T1-31,260
TR13,Scoot,Singapore,Direct,2024-02-20 07:49:00,T1-43,395
5J32,Cebu Pacific,Manila,Direct,2024-02-20 07:55:00,T1-53,264
SQ211,Singapore Airlines,Singapore,Direct,2024-02-20 08:04:00,T1-31,351
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-20 08:48:00,T1-02,353
MU502,China Eastern,Shanghai,Direct,2024-02-20 09:16:00,T1-09,308
CA781,Air China,Beijing,Direct,2024-02-20 09:57:00,T1-09,191
JL771,Japan Airlines,Tokyo,Direct,2024-02-20 09:58:00,T1-02,356
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-20 10:25:00,T1-02,254
NH880,ANA,Tokyo,Direct,2024-02-20 11:17:00,T1-22,361
KE601,Korean Air,Seoul,Direct,2024-02-20 11:29:00,T1-18,159
QF7,Qantas,Los Angeles,Direct,2024-02-20 11:54:00,T1-02,333
QF1,Qantas,Singapore,Direct,2024-02-20 16:31:00,T1-12,186
UA839,United Airlines,Los Angeles,Direct,2024-02-20 20:56:00,T1-25,383
EK413,Emirates,Dubai,Direct,2024-02-20 21:09:00,T1-20,221
GA715,Garuda Indonesia,Bali,Direct,2024-02-21 07:29:00,T1-20,276
SQ211,Singapore Airlines,Singapore,Direct,2024-02-21 08:05:00,T1-49,390
TG476,Thai Airways,Bangkok,Direct,2024-02-21 09:01:00,T1-04,150
PR211,Philippine Airlines,Manila,Direct,2024-02-21 09:30:00,T1-33,174
OZ602,Asiana Airlines,Seoul,Direct,2024-02-21 09:41:00,T1-02,172
JL771,Japan Airlines,Tokyo,Direct,2024-02-21 09:59:00,T1-39,198
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-21 10:28:00,T1-20,186
KE601,Korean Air,Seoul,Direct,2024-02-21 11:31:00,T1-18,379
QF7,Qantas,Los Angeles,Direct,2024-02-21 11:50:00,T1-46,387
SQ213,Singapore Airlines,Singapore,Direct,2024-02-21 13:29:00,T1-11,255
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-21 15:41:00,T1-25,278
QF1,Qantas,Singapore,Direct,2024-02-21 16:32:00,T1-09,257
QR007,Qatar Airways,Doha,Direct,2024-02-21 20:41:00,T1-35,192
EK413,Emirates,Dubai,Direct,2024-02-21 21:05:00,T1-04,253
GA715,Garuda Indonesia,Bali,Direct,2024-02-22 07:26:00,T1-20,157
TR13,Scoot,Singapore,Direct,2024-02-22 07:40:00,T1-13,198
SQ211,Singapore Airlines,Singapore,Direct,2024-02-22 07:58:00,T1-27,355
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-22 08:48:00,T1-25,188
TG476,Thai Airways,Bangkok,Direct,2024-02-22 08:58:00,T1-28,182
MU502,China Eastern,Shanghai,Direct,2024-02-22 09:10:00,T1-48,226
JL771,Japan Airlines,Tokyo,Direct,2024-02-22 09:57:00,T1-47,381
CA781,Air China,Beijing,Direct,2024-02-22 10:00:00,T1-35,210
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-22 10:35:00,T1-02,246
NH880,ANA,Tokyo,Direct,2024-02-22 11:13:00,T1-46,331
KE601,Korean Air,Seoul,Direct,2024-02-22 11:26:00,T1-11,284
QF7,Qantas,Los Angeles,Direct,2024-02-22 11:51:00,T1-14,215
SQ213,Singapore Airlines,Singapore,Direct,2024-02-22 13:35:00,T1-20,178
QF1,Qantas,Singapore,Direct,2024-02-22 16:32:00,T1-28,156
UA839,United Airlines,Los Angeles,Direct,2024-02-22 20:55:00,T1-04,267
EK413,Emirates,Dubai,Direct,2024-02-22 21:12:00,T1-34,399
GA715,Garuda Indonesia,Bali,Direct,2024-02-23 07:25:00,T1-01,241
SQ211,Singapore Airlines,Singapore,Direct,2024-02-23 07:56:00,T1-29,226
5J32,Cebu Pacific,Manila,Direct,2024-02-23 08:02:00,T1-10,311
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-23 08:42:00,T1-32,341
MU502,China Eastern,Shanghai,Direct,2024-02-23 09:10:00,T1-36,394
PR211,Philippine Airlines,Manila,Direct,2024-02-23 09:32:00,T1-47,273
OZ602,Asiana Airlines,Seoul,Direct,2024-02-23 09:42:00,T1-54,354
JL771,Japan Airlines,Tokyo,Direct,2024-02-23 09:56:00,T1-15,284
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-23 10:30:00,T1-03,241
KE601,Korean Air,Seoul,Direct,2024-02-23 11:27:00,T1-41,399
QF7,Qantas,Los Angeles,Direct,2024-02-23 11:57:00,T1-48,231
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-23 15:47:00,T1-19,239
QF1,Qantas,Singapore,Direct,2024-02-23 16:34:00,T1-10,224
QR007,Qatar Airways,Doha,Direct,2024-02-23 20:47:00,T1-13,245
EK413,Emirates,Dubai,Direct,2024-02-23 21:10:00,T1-17,238
GA715,Garuda Indonesia,Bali,Direct,2024-02-24 07:30:00,T1-13,332
TR13,Scoot,Singapore,Direct,2024-02-24 07:49:00,T1-31,386
SQ211,Singapore Airlines,Singapore,Direct,2024-02-24 07:56:00,T1-33,298
TG476,Thai Airways,Bangkok,Direct,2024-02-24 08:58:00,T1-40,215
PR211,Philippine Airlines,Manila,Direct,2024-02-24 09:33:00,T1-02,194
OZ602,Asiana Airlines,Seoul,Direct,2024-02-24 09:49:00,T1-14,172
CA781,Air China,Beijing,Direct,2024-02-24 09:56:00,T1-44,316
JL771,Japan Airlines,Tokyo,Direct,2024-02-24 09:58:00,T1-41,334
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-24 10:31:00,T1-21,312
NH880,ANA,Tokyo,Direct,2024-02-24 11:15:00,T1-08,246
KE601,Korean Air,Seoul,Direct,2024-02-24 11:27:00,T1-22,283
QF7,Qantas,Los Angeles,Direct,2024-02-24 11:51:00,T1-26,184
SQ213,Singapore Airlines,Singapore,Direct,2024-02-24 13:29:00,T1-47,280
QF1,Qantas,Singapore,Direct,2024-02-24 16:32:00,T1-48,274
UA839,United Airlines,Los Angeles,Direct,2024-02-24 21:00:00,T1-34,312
EK413,Emirates,Dubai,Direct,2024-02-24 21:10:00,T1-12,173
GA715,Garuda Indonesia,Bali,Direct,2024-02-25 07:34:00,T1-19,389
SQ211,Singapore Airlines,Singapore,Direct,2024-02-25 07:57:00,T1-42,228
5J32,Cebu Pacific,Manila,Direct,2024-02-25 08:02:00,T1-50,239
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-25 08:49:00,T1-13,232
TG476,Thai Airways,Bangkok,Direct,2024-02-25 08:59:00,T1-18,184
MU502,China Eastern,Shanghai,Direct,2024-02-25 09:16:00,T1-10,370
PR211,Philippine Airlines,Manila,Direct,2024-02-25 09:35:00,T1-35,357
JL771,Japan Airlines,Tokyo,Direct,2024-02-25 10:02:00,T1-40,232
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-25 10:27:00,T1-20,262
NH880,ANA,Tokyo,Direct,2024-02-25 11:10:00,T1-33,378
KE601,Korean Air,Seoul,Direct,2024-02-25 11:31:00,T1-08,203
QF7,Qantas,Los Angeles,Direct,2024-02-25 11:52:00,T1-31,326
SQ213,Singapore Airlines,Singapore,Direct,2024-02-25 13:26:00,T1-29,360
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-25 15:46:00,T1-10,179
QF1,Qantas,Singapore,Direct,2024-02-25 16:27:00,T1-40,173
QR007,Qatar Airways,Doha,Direct,2024-02-25 20:43:00,T1-11,162
UA839,United Airlines,Los Angeles,Direct,2024-02-25 21:01:00,T1-21,256
EK413,Emirates,Dubai,Direct,2024-02-25 21:10:00,T1-04,336
GA715,Garuda Indonesia,Bali,Direct,2024-02-26 07:32:00,T1-16,199
SQ211,Singapore Airlines,Singapore,Direct,2024-02-26 07:57:00,T1-25,153
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-26 08:44:00,T1-53,297
TG476,Thai Airways,Bangkok,Direct,2024-02-26 08:59:00,T1-44,350
MU502,China Eastern,Shanghai,Direct,2024-02-26 09:20:00,T1-48,213
PR211,Philippine Airlines,Manila,Direct,2024-02-26 09:30:00,T1-51,312
OZ602,Asiana Airlines,Seoul,Direct,2024-02-26 09:42:00,T1-54,194
JL771,Japan Airlines,Tokyo,Direct,2024-02-26 10:01:00,T1-35,278
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-26 10:34:00,T1-49,182
KE601,Korean Air,Seoul,Direct,2024-02-26 11:34:00,T1-09,284
QF7,Qantas,Los Angeles,Direct,2024-02-26 11:51:00,T1-33,156
SQ213,Singapore Airlines,Singapore,Direct,2024-02-26 13:35:00,T1-01,305
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-26 15:43:00,T1-11,396
QF1,Qantas,Singapore,Direct,2024-02-26 16:28:00,T1-06,283
QR007,Qatar Airways,Doha,Direct,2024-02-26 20:40:00,T1-03,343
EK413,Emirates,Dubai,Direct,2024-02-26 21:14:00,T1-45,381
GA715,Garuda Indonesia,Bali,Direct,2024-02-27 07:29:00,T1-08,248
TR13,Scoot,Singapore,Direct,2024-02-27 07:41:00,T1-21,237
5J32,Cebu Pacific,Manila,Direct,2024-02-27 07:56:00,T1-30,157
SQ211,Singapore Airlines,Singapore,Direct,2024-02-27 07:57:00,T1-07,224
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-27 08:41:00,T1-08,295
MU502,China Eastern,Shanghai,Direct,2024-02-27 09:18:00,T1-52,231
JL771,Japan Airlines,Tokyo,Direct,2024-02-27 10:03:00,T1-23,363
CA781,Air China,Beijing,Direct,2024-02-27 10:05:00,T1-46,270
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-27 10:34:00,T1-01,248
NH880,ANA,Tokyo,Direct,2024-02-27 11:19:00,T1-16,175
KE601,Korean Air,Seoul,Direct,2024-02-27 11:25:00,T1-55,314
QF7,Qantas,Los Angeles,Direct,2024-02-27 11:51:00,T1-32,222
QF1,Qantas,Singapore,Direct,2024-02-27 16:25:00,T1-19,154
UA839,United Airlines,Los Angeles,Direct,2024-02-27 21:00:00,T1-07,273
EK413,Emirates,Dubai,Direct,2024-02-27 21:13:00,T1-24,320
GA715,Garuda Indonesia,Bali,Direct,2024-02-28 07:35:00,T1-04,264
SQ211,Singapore Airlines,Singapore,Direct,2024-02-28 08:03:00,T1-29,395
TG476,Thai Airways,Bangkok,Direct,2024-02-28 08:56:00,T1-46,258
PR211,Philippine Airlines,Manila,Direct,2024-02-28 09:31:00,T1-01,153
OZ602,Asiana Airlines,Seoul,Direct,2024-02-28 09:42:00,T1-03,249
JL771,Japan Airlines,Tokyo,Direct,2024-02-28 10:03:00,T1-42,250
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-28 10:31:00,T1-41,200
KE601,Korean Air,Seoul,Direct,2024-02-28 11:25:00,T1-03,269
QF7,Qantas,Los Angeles,Direct,2024-02-28 11:54:00,T1-15,181
SQ213,Singapore Airlines,Singapore,Direct,2024-02-28 13:25:00,T1-40,222
CX103,Cathay Pacific,Hong Kong,Direct,2024-02-28 15:47:00,T1-51,258
QF1,Qantas,Singapore,Direct,2024-02-28 16:32:00,T1-08,206
QR007,Qatar Airways,Doha,Direct,2024-02-28 20:43:00,T1-32,307
EK413,Emirates,Dubai,Direct,2024-02-28 21:15:00,T1-27,223
GA715,Garuda Indonesia,Bali,Direct,2024-02-29 07:28:00,T1-44,362
TR13,Scoot,Singapore,Direct,2024-02-29 07:43:00,T1-32,256
SQ211,Singapore Airlines,Singapore,Direct,2024-02-29 07:56:00,T1-51,200
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-02-29 08:48:00,T1-34,387
TG476,Thai Airways,Bangkok,Direct,2024-02-29 08:55:00,T1-26,257
MU502,China Eastern,Shanghai,Direct,2024-02-29 09:13:00,T1-13,304
JL771,Japan Airlines,Tokyo,Direct,2024-02-29 09:58:00,T1-18,173
CA781,Air China,Beijing,Direct,2024-02-29 10:00:00,T1-02,358
CX101,Cathay Pacific,Hong Kong,Direct,2024-02-29 10:33:00,T1-42,297
NH880,ANA,Tokyo,Direct,2024-02-29 11:10:00,T1-47,217
KE601,Korean Air,Seoul,Direct,2024-02-29 11:32:00,T1-54,382
QF7,Qantas,Los Angeles,Direct,2024-02-29 12:00:00,T1-50,395
SQ213,Singapore Airlines,Singapore,Direct,2024-02-29 13:26:00,T1-53,253
QF1,Qantas,Singapore,Direct,2024-02-29 16:34:00,T1-38,323
UA839,United Airlines,Los Angeles,Direct,2024-02-29 21:02:00,T1-33,186
EK413,Emirates,Dubai,Direct,2024-02-29 21:06:00,T1-50,338
GA715,Garuda Indonesia,Bali,Direct,2024-03-01 07:35:00,T1-07,259
5J32,Cebu Pacific,Manila,Direct,2024-03-01 07:55:00,T1-22,286
SQ211,Singapore Airlines,Singapore,Direct,2024-03-01 07:57:00,T1-02,258
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-01 08:44:00,T1-17,174
MU502,China Eastern,Shanghai,Direct,2024-03-01 09:10:00,T1-42,368
PR211,Philippine Airlines,Manila,Direct,2024-03-01 09:30:00,T1-40,158
OZ602,Asiana Airlines,Seoul,Direct,2024-03-01 09:47:00,T1-35,178
JL771,Japan Airlines,Tokyo,Direct,2024-03-01 09:57:00,T1-35,152
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-01 10:28:00,T1-11,181
KE601,Korean Air,Seoul,Direct,2024-03-01 11:29:00,T1-29,206
QF7,Qantas,Los Angeles,Direct,2024-03-01 11:59:00,T1-18,302
CX103,Cathay Pacific,Hong Kong,Direct,2024-03-01 15:41:00,T1-46,207
QF1,Qantas,Singapore,Direct,2024-03-01 16:31:00,T1-38,161
QR007,Qatar Airways,Doha,Direct,2024-03-01 20:50:00,T1-51,296
EK413,Emirates,Dubai,Direct,2024-03-01 21:15:00,T1-53,370
GA715,Garuda Indonesia,Bali,Direct,2024-03-02 07:27:00,T1-27,208
TR13,Scoot,Singapore,Direct,2024-03-02 07:50:00,T1-06,202
SQ211,Singapore Airlines,Singapore,Direct,2024-03-02 08:03:00,T1-36,150
TG476,Thai Airways,Bangkok,Direct,2024-03-02 09:05:00,T1-39,215
PR211,Philippine Airlines,Manila,Direct,2024-03-02 09:32:00,T1-44,197
OZ602,Asiana Airlines,Seoul,Direct,2024-03-02 09:43:00,T1-42,303
JL771,Japan Airlines,Tokyo,Direct,2024-03-02 09:57:00,T1-37,202
CA781,Air China,Beijing,Direct,2024-03-02 10:01:00,T1-23,325
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-02 10:29:00,T1-37,219
NH880,ANA,Tokyo,Direct,2024-03-02 11:12:00,T1-45,371
KE601,Korean Air,Seoul,Direct,2024-03-02 11:28:00,T1-45,387
QF7,Qantas,Los Angeles,Direct,2024-03-02 11:54:00,T1-20,331
SQ213,Singapore Airlines,Singapore,Direct,2024-03-02 13:35:00,T1-29,325
QF1,Qantas,Singapore,Direct,2024-03-02 16:31:00,T1-06,219
UA839,United Airlines,Los Angeles,Direct,2024-03-02 21:05:00,T1-08,342
EK413,Emirates,Dubai,Direct,2024-03-02 21:07:00,T1-05,342
GA715,Garuda Indonesia,Bali,Direct,2024-03-03 07:26:00,T1-39,280
SQ211,Singapore Airlines,Singapore,Direct,2024-03-03 08:03:00,T1-15,168
5J32,Cebu Pacific,Manila,Direct,2024-03-03 08:03:00,T1-49,194
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-03 08:49:00,T1-33,252
TG476,Thai Airways,Bangkok,Direct,2024-03-03 09:01:00,T1-42,244
MU502,China Eastern,Shanghai,Direct,2024-03-03 09:13:00,T1-19,319
PR211,Philippine Airlines,Manila,Direct,2024-03-03 09:29:00,T1-05,391
JL771,Japan Airlines,Tokyo,Direct,2024-03-03 09:59:00,T1-10,246
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-03 10:35:00,T1-29,296
NH880,ANA,Tokyo,Direct,2024-03-03 11:20:00,T1-28,340
KE601,Korean Air,Seoul,Direct,2024-03-03 11:30:00,T1-23,382
QF7,Qantas,Los Angeles,Direct,2024-03-03 12:00:00,T1-55,247
SQ213,Singapore Airlines,Singapore,Direct,2024-03-03 13:34:00,T1-22,168
CX103,Cathay Pacific,Hong Kong,Direct,2024-03-03 15:40:00,T1-31,177
QF1,Qantas,Singapore,Direct,2024-03-03 16:28:00,T1-43,355
QR007,Qatar Airways,Doha,Direct,2024-03-03 20:45:00,T1-12,291
UA839,United Airlines,Los Angeles,Direct,2024-03-03 20:58:00,T1-23,304
EK413,Emirates,Dubai,Direct,2024-03-03 21:11:00,T1-16,197
GA715,Garuda Indonesia,Bali,Direct,2024-03-04 07:27:00,T1-30,388
SQ211,Singapore Airlines,Singapore,Direct,2024-03-04 08:00:00,T1-22,165
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-04 08:42:00,T1-31,361
TG476,Thai Airways,Bangkok,Direct,2024-03-04 08:58:00,T1-32,165
MU502,China Eastern,Shanghai,Direct,2024-03-04 09:13:00,T1-22,173
PR211,Philippine Airlines,Manila,Direct,2024-03-04 09:26:00,T1-46,360
OZ602,Asiana Airlines,Seoul,Direct,2024-03-04 09:43:00,T1-25,211
JL771,Japan Airlines,Tokyo,Direct,2024-03-04 10:02:00,T1-54,319
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-04 10:30:00,T1-32,392
KE601,Korean Air,Seoul,Direct,2024-03-04 11:34:00,T1-07,231
QF7,Qantas,Los Angeles,Direct,2024-03-04 11:51:00,T1-36,312
SQ213,Singapore Airlines,Singapore,Direct,2024-03-04 13:25:00,T1-14,214
CX103,Cathay Pacific,Hong Kong,Direct,2024-03-04 15:40:00,T1-23,399
QF1,Qantas,Singapore,Direct,2024-03-04 16:27:00,T1-08,280
QR007,Qatar Airways,Doha,Direct,2024-03-04 20:40:00,T1-28,377
EK413,Emirates,Dubai,Direct,2024-03-04 21:11:00,T1-34,380
GA715,Garuda Indonesia,Bali,Direct,2024-03-05 07:25:00,T1-53,177
TR13,Scoot,Singapore,Direct,2024-03-05 07:40:00,T1-53,398
SQ211,Singapore Airlines,Singapore,Direct,2024-03-05 08:00:00,T1-42,296
5J32,Cebu Pacific,Manila,Direct,2024-03-05 08:04:00,T1-08,253
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-05 08:41:00,T1-02,257
MU502,China Eastern,Shanghai,Direct,2024-03-05 09:20:00,T1-54,281
CA781,Air China,Beijing,Direct,2024-03-05 09:56:00,T1-29,275
JL771,Japan Airlines,Tokyo,Direct,2024-03-05 09:59:00,T1-31,191
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-05 10:29:00,T1-20,179
NH880,ANA,Tokyo,Direct,2024-03-05 11:18:00,T1-25,380
KE601,Korean Air,Seoul,Direct,2024-03-05 11:32:00,T1-39,301
QF7,Qantas,Los Angeles,Direct,2024-03-05 12:00:00,T1-18,257
QF1,Qantas,Singapore,Direct,2024-03-05 16:26:00,T1-03,156
UA839,United Airlines,Los Angeles,Direct,2024-03-05 20:59:00,T1-04,343
EK413,Emirates,Dubai,Direct,2024-03-05 21:13:00,T1-49,216
GA715,Garuda Indonesia,Bali,Direct,2024-03-06 07:30:00,T1-51,275
SQ211,Singapore Airlines,Singapore,Direct,2024-03-06 07:57:00,T1-49,317
TG476,Thai Airways,Bangkok,Direct,2024-03-06 08:55:00,T1-16,198
PR211,Philippine Airlines,Manila,Direct,2024-03-06 09:29:00,T1-31,194
OZ602,Asiana Airlines,Seoul,Direct,2024-03-06 09:45:00,T1-21,346
JL771,Japan Airlines,Tokyo,Direct,2024-03-06 10:03:00,T1-19,341
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-06 10:29:00,T1-10,232
KE601,Korean Air,Seoul,Direct,2024-03-06 11:31:00,T1-23,225
QF7,Qantas,Los Angeles,Direct,2024-03-06 11:56:00,T1-21,247
SQ213,Singapore Airlines,Singapore,Direct,2024-03-06 13:32:00,T1-50,190
CX103,Cathay Pacific,Hong Kong,Direct,2024-03-06 15:40:00,T1-45,172
QF1,Qantas,Singapore,Direct,2024-03-06 16:35:00,T1-55,305
QR007,Qatar Airways,Doha,Direct,2024-03-06 20:43:00,T1-52,388
EK413,Emirates,Dubai,Direct,2024-03-06 21:10:00,T1-12,321
GA715,Garuda Indonesia,Bali,Direct,2024-03-07 07:26:00,T1-43,382
TR13,Scoot,Singapore,Direct,2024-03-07 07:40:00,T1-31,164
SQ211,Singapore Airlines,Singapore,Direct,2024-03-07 08:00:00,T1-32,269
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-07 08:49:00,T1-40,381
TG476,Thai Airways,Bangkok,Direct,2024-03-07 08:56:00,T1-03,311
MU502,China Eastern,Shanghai,Direct,2024-03-07 09:12:00,T1-46,212
JL771,Japan Airlines,Tokyo,Direct,2024-03-07 09:59:00,T1-25,152
CA781,Air China,Beijing,Direct,2024-03-07 10:02:00,T1-41,353
CX101,Cathay Pacific,Hong Kong,Direct,2024-03-07 10:27:00,T1-12,156
NH880,ANA,Tokyo,Direct,2024-03-07 11:10:00,T1-54,176
KE601,Korean Air,Seoul,Direct,2024-03-07 11:30:00,T1-44,308
QF7,Qantas,Los Angeles,Direct,2024-03-07 11:55:00,T1-45,223
SQ213,Singapore Airlines,Singapore,Direct,2024-03-07 13:26:00,T1-12,216
QF1,Qantas,Singapore,Direct,2024-03-07 16:32:00,T1-08,327
UA839,United Airlines,Los Angeles,Direct,2024-03-07 21:04:00,T1-49,380
EK413,Emirates,Dubai,Direct,2024-03-07 21:09:00,T1-02,221
GA715,Garuda Indonesia,Bali,Direct,2024-03-08 07:32:00,T1-43,371
SQ211,Singapore Airlines,Singapore,Direct,2024-03-08 08:00:00,T1-07,314
5J32,Cebu Pacific,Manila,Direct,2024-03-08 08:05:00,T1-32,178
MH122,Malaysia Airlines,Kuala Lumpur,Direct,2024-03-08 08:49:00,T1-49,316
MU502,China Eastern,Shanghai,Direct,2024-03-08 09:19:00,T1-39,365
PR211,Philippine Airlines,Manila,Direct,2024-03-08 09:29:00,T1-42,355
